tree_id,species,latitude,longitude
182056, Blackwood Acacia,37.762384000000004,-122.4866283
141550,Unknown,37.77734428,-122.45042109999999
120272, Coast Redwood,37.78718008,-122.48424409999998
132897, Victorian Box,37.79343676,-122.439897
12728, Coast Live Oak,37.78624859,-122.4768032
235766, Cherry Plum,37.75294675,-122.4044447
182235, Cherry Plum,37.76062623,-122.48666680000001
27794, Yarwood Sycamore,37.79658901,-122.39552690000001
230109, Southern Magnolia,37.74619666,-122.41435919999999
221603, Trident Maple,37.7378032,-122.412123
237149, Kwanzan Flowering Cherry,37.76159701,-122.4080679
189765, Indian Laurel Fig Tree 'Green Gem',37.75066047,-122.4016116
195119, Sycamore: London Plane,37.76087654,-122.3906053
240627, Coast Redwood,37.74063273,-122.43543340000001
138535, Mayten,37.78527855,-122.43275870000001
92336, Swamp Myrtle,37.73928609,-122.48932279999998
35339, Queen Palm,37.75663725,-122.3979702
213176, New Zealand Xmas Tree,37.7195783,-122.4613183
185384, New Zealand Xmas Tree,37.74265566,-122.49430900000002
130447, Southern Magnolia,37.79535393,-122.4437077
13438, Sycamore: London Plane,37.79432565,-122.39525459999999
179901, Irish Yew,37.72263784,-122.4122237
214687, Kwanzan Flowering Cherry,37.73870492,-122.4697807
179183, Firethorn Tree 'Santa Cruz',37.72186512,-122.4087764
147612, Trident Maple,37.78373911,-122.4764813
191972, Silver Dollar Eucalyptus,37.73359232,-122.3821307
23045, Indian Laurel Fig Tree 'Green Gem',37.75664963,-122.4209814
108319, Red Flowering Gum,37.73280366,-122.38642490000001
118536, Leyland Cypress,37.77904807,-122.50431850000001
11637, Eucalyptus,37.72893181,-122.4717601
234409, Date Palm,37.74126674,-122.4241418
176731, Juniper,37.72427746,-122.41522340000002
236045, Victorian Box,37.76458824,-122.4297358
130659, Southern Magnolia,37.78946753,-122.44253159999998
226054, Maidenhair Tree,37.75747218,-122.42405149999999
84397, Swamp Myrtle,37.74449257,-122.3996366
112747, Chinese Elm,37.79246201,-122.4137017
226221, Maidenhair Tree,37.75734813,-122.41134450000001
239703, Brazilian Pepper,37.76430069,-122.44958030000001
